Region,Installation,RPUID,Asset_Name,build_dt,FCI,ICI,Visit Date,Net_Profit,Population,Profit_per_pop,ConditionCombo,ICI_Exist,Q-Rating
MCINCR,Camp Allen,69806,MAR CORPS EXCH GAS STA,1969,77,,28-Apr-21,23981713.84,960,24980.95192,77,N,Q2
MCINCR,MBW (8th & I),46441,BEQ - USMC BAND FACILITY,2004,86,,21-Oct-20,5204528.1,977,5327.050256,86,N,Q1
MCINCR,MCB Quantico,14407,LITTLE HALL,1940,77,,29-Sep-20,-20590407.03,6660,-3091.652707,77,N,Q2
MCINCR,MCB Quantico,14484,MARINA OFFICE,1986,81,,15-Sep-20,3130670.35,6660,470.0706231,81,N,Q1
MCINCR,MCB Quantico,14520,THE CLUBS AT QUANTICO,1994,76,95,21-Feb-17,7816368.46,6660,1173.628898,95,Y,Q1
MCINCR,MCB Quantico,14521,INNS OF THE CORPS QUANTICO,1998,87,,02-Oct-20,12627226.72,6660,1895.979988,87,N,Q1
MCINCR,MCB Quantico,17962,PICNIC PAVILION-LUNGA PARK,1961,80,,20-Aug-15,-5033.84,6660,-0.755831832,80,N,Q2
MCINCR,MCB Quantico,19742,BARBER FITNESS CENTER,2003,86,,15-Sep-20,376521.98,6660,56.53483183,86,N,Q1
MCINCR,MCB Quantico,19746,GEIGER HALL,1948,81,,17-Sep-20,600690.67,6660,90.19379429,81,N,Q1
MCINCR,MCB Quantico,19746,GEIGER HALL,1948,81,78,24-Feb-17,600690.67,6660,90.19379429,78,Y,Q2
MCINCR,MCB Quantico,19749,AUTO HOBBY SHOP,2006,88,,16-Sep-20,189243.44,6660,28.41493093,88,N,Q1
MCINCR,MCB Quantico,19750,SWIMMING POOL,1947,80,,20-Aug-15,762878.22,6660,114.5462793,80,N,Q2
MCINCR,MCB Quantico,20822,MCCS HQ - BUSINESS & SUPPORT DIV,1978,84,,23-Oct-20,491688.74,6660,73.82713814,84,N,Q1
MCINCR,MCB Quantico,20824,MARINE MART MAINSIDE,1990,87,,16-Sep-20,21406269.64,6660,3214.154601,87,N,Q1
MCINCR,MCB Quantico,20824,MARINE MART MAINSIDE,1990,87,77,23-Feb-17,21406269.64,6660,3214.154601,77,Y,Q2
MCINCR,MCB Quantico,20826,SELF SERVICE CAR WASH,1968,80,,23-Oct-20,485863.15,6660,72.95242492,80,N,Q2
MCINCR,MCB Quantico,21052,TBS MARINE MART,1971,75,73,22-Feb-17,25211110.42,6660,3785.452015,73,Y,Q2
